year,County,fruit_name,Production
2019,雲林縣,橄欖,0.0
2019,嘉義縣,橄欖,56.203
2019,屏東縣,橄欖,2.48
2019,台東縣,橄欖,407.271
2019,花蓮縣,橄欖,61.98
2019,澎湖縣,橄欖,0.0
2019,基隆市,橄欖,0.0
2019,新竹市,橄欖,0.7
2019,嘉義市,橄欖,13.94
2019,福建省,橄欖,NULL
2019,金門縣,橄欖,0.0
2019,連江縣,橄欖,0.0
2019,新北市,楊桃,4.5
2019,台北市,楊桃,12.939
2019,桃園市,楊桃,0.0
2019,台中市,楊桃,647.795
2019,台南市,楊桃,3677.117
2019,高雄市,楊桃,107.264
2019,臺灣省,楊桃,NULL
2019,宜蘭縣,楊桃,168.769
2019,新竹縣,楊桃,46.775
2019,苗栗縣,楊桃,1229.61
2019,彰化縣,楊桃,921.89
2019,南投縣,楊桃,253.247
2019,雲林縣,楊桃,205.526
2019,嘉義縣,楊桃,89.41
2019,屏東縣,楊桃,173.88
2019,台東縣,楊桃,49.504
2019,花蓮縣,楊桃,22.606
2019,澎湖縣,楊桃,0.0
2019,基隆市,楊桃,0.0
2019,新竹市,楊桃,0.0
2019,嘉義市,楊桃,0.0
2019,福建省,楊桃,NULL
2019,金門縣,楊桃,0.473
2019,連江縣,楊桃,0.0
2019,新北市,梨,85.915
2019,台北市,梨,2.16
2019,桃園市,梨,90.25
2019,台中市,梨,55931.799
2019,台南市,梨,34.343
2019,高雄市,梨,164.974
2019,臺灣省,梨,NULL
2019,宜蘭縣,梨,997.458
2019,新竹縣,梨,2210.65
2019,苗栗縣,梨,28735.603
2019,彰化縣,梨,616.093
2019,南投縣,梨,518.484
2019,雲林縣,梨,25.72
2019,嘉義縣,梨,1345.075
2019,屏東縣,梨,27.259
2019,台東縣,梨,125.665
2019,花蓮縣,梨,120.513
2019,澎湖縣,梨,0.0
2019,基隆市,梨,0.0
2019,新竹市,梨,0.0
2019,嘉義市,梨,0.0
2019,福建省,梨,NULL
2019,金門縣,梨,0.0
2019,連江縣,梨,0.0
2019,新北市,蘋果,0.0
2019,台北市,蘋果,0.0
2019,桃園市,蘋果,0.0
2019,台中市,蘋果,671.202
2019,台南市,蘋果,0.0
2019,高雄市,蘋果,5.145
2019,臺灣省,蘋果,NULL
2019,宜蘭縣,蘋果,0.0
2019,新竹縣,蘋果,0.0
2019,苗栗縣,蘋果,0.0
2019,彰化縣,蘋果,0.0
2019,南投縣,蘋果,492.48
2019,雲林縣,蘋果,0.0
2019,嘉義縣,蘋果,0.525
2019,屏東縣,蘋果,0.0
2019,台東縣,蘋果,0.0
2019,花蓮縣,蘋果,8.94
2019,澎湖縣,蘋果,0.0
2019,基隆市,蘋果,0.0
2019,新竹市,蘋果,0.0
2019,嘉義市,蘋果,0.0
2019,福建省,蘋果,NULL
2019,金門縣,蘋果,0.064
2019,連江縣,蘋果,0.0
2019,新北市,棗,0.0
2019,台北市,棗,0.0
2019,桃園市,棗,0.23
2019,台中市,棗,95.3
2019,台南市,棗,4622.138
2019,高雄市,棗,15426.739
2019,臺灣省,棗,NULL
2019,宜蘭縣,棗,0.0
2019,新竹縣,棗,2.65
2019,苗栗縣,棗,812.288
2019,彰化縣,棗,53.152
2019,南投縣,棗,288.141
2019,雲林縣,棗,290.016
2019,嘉義縣,棗,859.371
2019,屏東縣,棗,10731.806
2019,台東縣,棗,31.389
2019,花蓮縣,棗,5.328
2019,澎湖縣,棗,0.0
2019,基隆市,棗,0.0
2019,新竹市,棗,0.0
2019,嘉義市,棗,2.4
2019,福建省,棗,NULL
2019,金門縣,棗,0.16
2019,連江縣,棗,0.0
2019,新北市,番荔枝,1.0
2019,台北市,番荔枝,0.0
2019,桃園市,番荔枝,2.25
2019,台中市,番荔枝,430.6
2019,台南市,番荔枝,1411.895
2019,高雄市,番荔枝,85.615
2019,臺灣省,番荔枝,NULL
2019,宜蘭縣,番荔枝,43.656
2019,新竹縣,番荔枝,0.945
2019,苗栗縣,番荔枝,7.865
2019,彰化縣,番荔枝,335.829
2019,南投縣,番荔枝,135.816
2019,雲林縣,番荔枝,112.734
2019,嘉義縣,番荔枝,74.295
2019,屏東縣,番荔枝,482.633
2019,台東縣,番荔枝,52796.926
2019,花蓮縣,番荔枝,325.888
2019,澎湖縣,番荔枝,2.346
2019,基隆市,番荔枝,0.0
2019,新竹市,番荔枝,0.0
2019,嘉義市,番荔枝,0.0
2019,福建省,番荔枝,0.0
2019,金門縣,番荔枝,0.0
2019,連江縣,番荔枝,0.0
2019,新北市,百香果,33.269
2019,台北市,百香果,18.518
2019,桃園市,百香果,25.519
2019,台中市,百香果,915.658
2019,台南市,百香果,206.57
2019,高雄市,百香果,177.043
2019,臺灣省,百香果,NULL
2019,宜蘭縣,百香果,70.342
2019,新竹縣,百香果,38.631
2019,苗栗縣,百香果,365.542
2019,彰化縣,百香果,197.398
2019,南投縣,百香果,22086.683
2019,雲林縣,百香果,261.686
2019,嘉義縣,百香果,286.685
2019,屏東縣,百香果,150.834
2019,台東縣,百香果,198.097
