fruit_name,year,January,Febuary,March,April,May,June,July,August,September,October,November,December
荔枝,2017,-1.0,-1.0,-1.0,-1.0,254.49,102.57,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
龍眼,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,102.5,102.5,52.77,44.49,-1.0,-1.0,-1.0
棗子,2017,73.85,76.78,68.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66.59
番荔枝,2017,93.83,118.05,151.67,-1.0,-1.0,-1.0,125.0,125.0,62.61,70.93,80.97,91.64,77.5
鳳梨釋迦,2017,125.75,119.71,132.1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,105.5,94.86
楊桃,2017,45.0,25.75,22.5,32.67,-1.0,-1.0,-1.0,-1.0,36.93,32.69,27.0,26.83,30.67
楊桃,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
酪梨,2017,-1.0,-1.0,-1.0,-1.0,-1.0,86.33,63.72,63.72,36.93,32.69,90.17,85.67,85.33
椰子,2017,6.42,6.4,6.61,6.53,7.89,8.89,9.0,9.0,36.93,32.69,9.58,8.75,7.75
檳榔,2017,1.63,3.35,5.12,6.27,6.84,3.18,1.64,1.64,36.93,32.69,1.04,0.81,0.79
彌猴桃,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
木瓜,2017,68.28,38.16,41.13,50.97,42.89,26.08,30.61,30.61,27.56,27.89,21.57,33.7,39.92
百香果,2017,-1.0,-1.0,-1.0,-1.0,-1.0,94.65,84.98,84.98,82.03,73.41,47.8,58.88,44.67
香蕉,2017,83.08,86.46,61.54,61.19,36.19,17.42,9.25,9.25,10.05,8.41,7.34,14.73,19.71
香蕉,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
鳳梨,2017,-1.0,-1.0,-1.0,-1.0,-1.0,19.34,18.4,18.4,20.69,20.0,-1.0,-1.0,-1.0
鳳梨,2017,24.68,27.42,23.64,24.68,26.46,21.74,21.81,21.81,27.2,25.33,20.1,18.47,21.07
鳯梨,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
鳳梨,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
紅龍果,2017,-1.0,-1.0,-1.0,-1.0,100.0,46.34,36.43,36.43,36.93,32.69,28.43,54.88,-1.0
椪柑,2017,36.38,37.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.02,27.86,21.12
桶柑,2017,33.53,31.14,31.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
文旦,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.5,53.8,-1.0,-1.0,-1.0
柳橙,2017,27.47,33.64,34.79,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,24.0,23.06,21.93
檸檬,2017,70.17,71.95,43.83,63.71,54.79,21.78,18.53,18.53,19.02,19.84,27.31,41.12,42.05
檸檬,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
海梨柑,2017,21.5,21.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
茂谷柑,2017,51.67,43.8,43.83,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.2,-1.0
白柚,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,28.83,-1.0,35.0
金柑,2017,44.0,55.5,74.53,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.67
李,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
李,2017,-1.0,-1.0,-1.0,-1.0,40.0,69.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
鶯歌桃,2017,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
甜桃,2017,-1.0,-1.0,-1.0,60.0,66.61,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
水蜜桃,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,73.33,73.33,86.97,-1.0,-1.0,-1.0,-1.0
牛心柿,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.5,24.5,-1.0
甜柿,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.75,88.03,80.44
紅柿,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.17,24.0,15.93,18.0,-1.0
青梅,2017,-1.0,-1.0,-1.0,58.33,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
青梅,2017,-1.0,-1.0,-1.0,33.72,33.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
橫山梨,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,40.0,40.0,-1.0,-1.0,-1.0,-1.0
新世紀梨,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,53.33,57.5,-1.0,-1.0
豐水梨,2017,-1.0,-1.0,-1.0,-1.0,-1.0,72.08,69.67,69.67,130.0,-1.0,-1.0,-1.0,-1.0
幸水梨,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
新興梨,2017,-1.0,-1.0,-1.0,-1.0,-1.0,58.0,53.26,53.26,56.7,56.92,-1.0,-1.0,-1.0
五爪蘋果,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
金冠蘋果,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
富士蘋果,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
巨峰葡萄,2017,72.0,81.67,88.33,75.0,81.67,75.28,64.12,64.12,64.98,61.73,74.55,60.15,61.16
落花生,2017,72.14,70.59,70.0,70.0,71.36,80.19,84.89,84.89,79.43,79.0,76.34,62.97,52.88
花生仁,2017,111.32,-1.0,-1.0,-1.0,162.25,148.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
紅豆,2017,86.1,83.04,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,66.38
綠豆,2017,80.25,80.33,80.17,80.17,83.58,93.0,89.33,89.33,95.0,99.0,99.67,92.67,-1.0
花豆,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
甘藷,2017,14.0,10.86,12.15,16.46,15.55,12.75,16.59,16.59,22.42,22.58,20.78,19.54,17.11
烏龍茶菁,2017,-1.0,-1.0,150.0,262.33,270.28,216.67,130.0,130.0,130.0,167.67,185.82,230.63,-1.0
烏龍茶菁,2017,-1.0,-1.0,-1.0,85.33,74.67,65.17,50.5,50.5,24.4,30.67,55.77,82.0,-1.0
金萱茶菁,2017,-1.0,-1.0,115.0,155.65,161.47,125.83,72.0,72.0,72.0,98.89,125.17,142.0,-1.0
金萱茶菁,2017,-1.0,-1.0,-1.0,49.67,49.45,48.0,40.44,40.44,25.2,28.33,43.23,51.85,-1.0
蓮子,2017,-1.0,-1.0,-1.0,-1.0,583.0,583.0,571.5,571.5,568.67,552.17,550.0,-1.0,-1.0
荖花,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
蜂蜜,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
紅甘蔗,2017,11.17,11.1,11.89,11.89,10.23,10.27,10.23,10.23,10.27,9.51,11.02,10.87,10.93
芝麻,2017,239.4,296.67,294.33,300.0,266.65,266.27,265.0,265.0,265.0,265.0,260.0,225.0,237.07
紅茶,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
綠茶,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
文心蘭,2017,6.9,7.48,8.2,9.02,7.7,4.84,6.61,6.61,6.46,4.65,3.47,5.88,7.7
菊花,2017,7.04,8.53,7.07,6.95,6.03,6.67,9.67,9.67,8.67,8.74,7.63,5.28,5.96
菊,2017,4.95,4.03,3.0,3.68,4.33,5.67,8.67,8.67,7.83,8.69,6.73,4.67,4.09
玫瑰,2017,5.4,6.56,5.84,3.69,5.03,4.77,4.08,4.08,5.34,5.27,6.27,5.28,6.62
火鶴,2017,11.25,12.25,10.25,8.99,7.21,8.71,10.58,10.58,9.87,9.38,10.16,10.98,11.33
非洲菊,2017,4.65,3.59,2.51,2.59,2.58,4.73,7.08,7.08,4.14,6.32,6.86,6.86,5.13
滿天星,2017,49.0,54.67,48.33,52.33,93.17,96.5,108.5,108.5,72.33,54.67,76.5,82.67,61.5
卡斯比亞,2017,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香石竹,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香石竹,2017,3.84,4.4,3.04,3.16,3.92,3.38,4.39,4.39,3.92,5.02,4.56,4.3,3.84
天堂鳥,2017,11.0,12.67,9.33,9.33,7.33,7.67,9.33,9.33,5.67,8.0,9.0,11.0,11.33
夜來香,2017,3.75,6.17,3.58,2.83,2.0,3.5,3.83,3.83,4.0,5.5,4.83,3.67,3.83
唐菖蒲,2017,2.28,5.52,3.2,4.28,2.77,3.42,4.82,4.82,5.43,5.49,3.53,3.67,2.57
葵百合,2017,-1.0,-1.0,-1.0,-1.0,-1.0,28.78,21.89,21.89,-1.0,14.96,18.46,22.91,19.7
姬百合,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香水百合,2017,16.48,34.11,23.98,24.33,24.67,28.19,21.21,21.21,22.48,23.73,23.05,25.45,25.14
香水百合,2017,17.25,29.17,24.32,21.83,21.67,24.0,-1.0,-1.0,-1.0,-1.0,19.5,21.33,23.0
大理花,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0
聖誕紅,2017,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75.0,74.17
蘿蔔,2016,6.44,14.28,16.77,13.4,11.87,13.25,14.64,14.64,9.88,10.0,20.01,20.0,9.15
白玉蘿蔔,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
胡蘿蔔,2016,16.63,15.63,15.36,18.17,20.08,23.0,24.23,24.23,24.53,25.5,38.67,37.83,27.67
山藥,2016,40.5,40.0,40.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.83,52.83,43.83,41.0
牛蒡,2016,-1.0,-1.0,27.67,26.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
生薑,2016,-1.0,-1.0,-1.0,-1.0,61.67,51.0,51.5,51.5,48.0,42.33,35.5,-1.0,-1.0
生薑,2016,42.17,52.01,45.89,36.38,33.63,28.33,43.33,43.33,52.0,43.33,43.33,40.0,35.0
芋頭,2016,56.11,60.29,65.0,75.33,64.0,56.67,50.0,50.0,46.67,45.0,39.38,39.49,36.05
綠竹筍,2016,-1.0,-1.0,-1.0,124.5,126.3,75.68,88.97,88.97,71.53,60.47,89.33,-1.0,-1.0
烏殼綠竹筍,2016,-1.0,-1.0,-1.0,47.33,34.67,26.67,26.67,26.67,26.0,25.0,55.67,-1.0,-1.0
麻竹筍,2016,36.67,40.0,50.0,42.78,42.5,30.61,24.75,24.75,25.33,23.92,59.78,35.0,16.0
桂竹筍,2016,-1.0,-1.0,-1.0,31.02,29.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
轎篙筍,2016,-1.0,-1.0,-1.0,-1.0,32.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
白蘆筍,2016,-1.0,-1.0,-1.0,-1.0,86.67,98.33,153.83,153.83,147.0,145.5,112.67,-1.0,-1.0
綠蘆筍,2016,-1.0,-1.0,124.17,138.06,150.48,116.25,115.56,115.56,121.67,126.11,153.89,186.67,200.0
茭白筍,2016,-1.0,90.0,94.0,85.0,60.67,58.33,56.67,56.67,59.0,66.67,62.0,71.67,-1.0
大芥菜,2016,11.55,29.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
馬鈴薯,2016,21.04,25.32,23.92,24.42,24.53,24.5,25.27,25.27,25.7,26.17,27.17,29.0,22.7
加工麻竹筍,2016,-1.0,-1.0,-1.0,-1.0,-1.0,20.22,14.17,14.17,11.32,11.64,-1.0,-1.0,-1.0
青蔥,2016,85.46,88.48,73.37,40.4,25.99,21.23,21.65,21.65,27.26,42.47,100.09,76.63,50.77
青蔥,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
蔥頭,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
洋蔥,2016,12.5,13.0,14.46,16.12,23.53,25.0,25.0,25.0,-1.0,-1.0,-1.0,-1.0,16.0
洋蔥,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
青蒜,2016,61.5,90.63,59.62,59.38,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,70.29
蒜頭,2016,-1.0,78.0,75.8,106.09,156.16,135.13,118.81,118.81,127.18,135.18,143.49,143.02,144.83
荸薺,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
韭菜,2016,39.56,43.17,43.22,33.22,21.78,23.56,27.67,27.67,30.11,44.11,92.44,68.0,42.33
韭黃,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
蕹菜,2016,41.76,66.23,57.13,41.77,20.38,20.33,23.29,23.29,20.35,35.23,50.0,38.77,36.0
芹菜,2016,29.17,57.72,33.68,53.63,23.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
甘藍,2016,7.57,21.75,30.41,22.99,11.38,13.05,15.01,15.01,26.41,26.05,26.67,46.95,13.54
甘藍芽,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
小白菜,2016,27.06,47.0,27.7,19.26,17.08,20.67,24.5,24.5,15.0,31.5,47.99,19.19,15.03
青江白菜,2016,25.56,43.72,30.69,27.33,12.58,17.63,22.19,22.19,16.82,23.78,48.5,23.35,13.69
結球白菜,2016,9.86,25.62,24.63,13.83,11.2,13.52,14.52,14.52,19.57,18.03,27.05,24.74,9.23
結球白菜,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
菠菜,2016,28.38,50.97,37.23,35.85,-1.0,42.28,71.67,71.67,54.07,53.8,75.18,47.87,22.13
芥藍,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
莧菜,2016,33.22,-1.0,52.35,39.97,18.83,25.15,27.43,27.43,23.4,30.6,55.69,44.23,30.71
本島萵苣,2016,24.0,52.45,36.72,24.26,16.87,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
萵苣,2016,18.92,45.8,23.62,19.18,12.03,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
茼萵,2016,41.67,44.44,24.7,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,69.5,49.44,34.59
花椰菜,2016,15.55,29.63,35.84,28.36,32.29,32.75,35.73,35.73,38.44,42.89,69.37,70.03,29.11
青花苔,2016,20.86,36.38,37.67,32.88,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
金針菜,2016,580.67,579.0,548.83,533.33,551.67,531.11,553.33,553.33,557.33,602.56,608.45,628.67,600.83
越瓜,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
胡瓜,2016,24.98,58.46,50.44,19.73,7.27,10.18,18.26,18.26,18.18,20.99,46.95,26.35,8.71
胡瓜,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
花胡瓜,2016,38.56,95.12,74.06,25.69,14.26,29.0,45.38,45.38,29.32,36.28,89.56,41.25,18.71
冬瓜,2016,15.0,16.0,30.85,35.28,15.83,8.67,8.0,8.0,8.0,9.0,16.55,24.25,19.33
苦瓜,2016,35.02,69.38,84.49,45.5,29.71,24.46,22.73,22.73,25.38,39.85,92.58,68.66,48.79
絲瓜,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
絲瓜,2016,28.65,49.3,43.15,37.08,17.32,15.62,17.48,17.48,16.82,19.08,52.58,35.03,25.05
扁蒲,2016,14.05,38.42,35.83,26.6,9.29,-1.0,-1.0,-1.0,-1.0,-1.0,43.17,34.0,14.8
茄子,2016,28.53,37.75,31.09,27.55,19.86,24.28,20.91,20.91,25.58,38.43,97.55,46.92,54.73
番茄,2016,25.66,34.8,43.38,44.95,48.0,36.67,23.33,23.33,26.35,37.0,61.03,90.5,60.42
小蕃茄,2016,73.45,39.5,54.22,71.67,64.33,58.33,45.67,45.67,73.33,65.0,79.0,157.06,104.78
甜椒,2016,24.83,43.46,42.89,37.96,22.33,35.93,34.78,34.78,20.5,33.88,79.9,95.18,43.38
西瓜,2016,-1.0,-1.0,-1.0,24.34,21.68,12.59,20.78,20.78,17.25,-1.0,-1.0,-1.0,-1.0
西瓜,2016,-1.0,-1.0,25.0,20.47,21.5,11.57,18.17,18.17,21.83,7.81,25.0,-1.0,-1.0
西瓜,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
洋香瓜,2016,37.42,37.0,52.36,53.31,38.83,27.08,32.2,32.2,29.43,25.25,39.72,54.33,35.0
洋香瓜,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
洋香瓜,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
洋香瓜,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
香瓜,2016,-1.0,-1.0,69.67,46.33,39.53,38.87,42.23,42.23,44.6,33.8,25.56,52.5,-1.0
敏豆,2016,53.07,95.42,74.0,59.5,52.42,55.23,74.93,74.93,86.86,106.59,140.2,96.83,49.29
豇豆,2016,35.67,53.5,51.22,52.33,28.0,19.71,30.42,30.42,40.4,43.67,81.13,70.67,33.33
豌豆,2016,62.55,118.54,70.0,98.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,121.58,82.63
甜豌豆,2016,59.0,103.25,67.33,74.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
毛豆,2016,22.84,19.2,19.2,19.2,17.92,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
菜豆,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
辣椒,2016,42.5,48.75,87.09,92.91,75.64,53.5,81.2,81.2,87.67,95.67,111.37,151.34,103.68
玉米筍,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
甜玉米,2016,19.37,26.24,26.97,24.34,18.61,14.34,15.97,15.97,20.63,14.88,27.19,55.27,23.53
蓮藕,2016,81.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.67,38.33,41.33,41.33,40.67
草莓,2016,235.56,266.67,185.56,95.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,115.67
洋菇,2016,65.22,77.5,66.33,109.67,112.33,105.33,97.67,97.67,92.67,85.0,99.17,113.0,111.67
香菇,2016,1368.61,1438.75,1420.0,1453.33,1475.83,1454.17,1455.0,1455.0,1450.83,1467.5,1436.67,1435.83,1448.33
香菇,2016,92.11,93.17,92.33,94.89,96.67,95.67,97.34,97.34,97.34,98.11,97.33,96.78,96.56
木耳,2016,64.5,76.25,76.33,67.67,50.33,49.33,46.0,46.0,58.0,55.0,54.67,62.5,63.33
鮑魚菇,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
杏鮑菇,2016,-1.0,-1.0,-1.0,-1.0,-1.0,66.45,62.78,62.78,67.89,78.56,72.67,77.22,73.89
菱角,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
葡萄柚,2016,19.33,24.5,29.0,23.67,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,20.11,20.51,19.58
芒果,2016,-1.0,-1.0,61.66,69.69,82.04,60.46,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
芒果,2016,-1.0,-1.0,-1.0,96.67,107.5,105.68,95.9,95.9,95.11,-1.0,-1.0,-1.0,-1.0
芒果,2016,-1.0,-1.0,-1.0,-1.0,61.9,55.96,51.51,51.51,69.42,-1.0,-1.0,-1.0,-1.0
番石榴,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
番石榴,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
番石榴,2016,38.8,24.52,38.43,18.65,26.28,33.32,20.47,20.47,18.13,44.82,47.27,47.33,60.23
番石榴,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
蓮霧,2016,56.75,58.31,62.75,54.18,50.66,55.5,-1.0,-1.0,-1.0,-1.0,-1.0,82.94,64.46
枇杷,2016,-1.0,85.0,139.25,124.44,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
荔枝,2016,-1.0,-1.0,-1.0,-1.0,-1.0,53.8,80.0,80.0,-1.0,-1.0,-1.0,-1.0,-1.0
荔枝,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
荔枝,2016,-1.0,-1.0,-1.0,-1.0,173.78,125.79,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
龍眼,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,93.0,93.0,65.41,43.75,-1.0,-1.0,-1.0
棗子,2016,51.01,46.02,56.14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,59.75
番荔枝,2016,58.76,65.09,74.75,-1.0,-1.0,-1.0,130.0,130.0,90.0,60.0,93.0,84.36,82.47
鳳梨釋迦,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
楊桃,2016,33.67,31.25,27.0,37.5,-1.0,-1.0,-1.0,-1.0,27.0,28.33,27.17,41.67,40.0
楊桃,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
酪梨,2016,-1.0,-1.0,-1.0,-1.0,-1.0,87.33,71.44,71.44,71.44,67.67,69.67,85.0,93.67
椰子,2016,5.67,5.46,5.59,5.96,6.89,7.5,7.94,7.94,8.06,7.0,6.92,6.5,6.25
檳榔,2016,0.96,1.57,1.78,2.25,3.87,4.31,2.47,2.47,1.09,1.3,1.07,0.96,0.98
彌猴桃,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
木瓜,2016,26.47,23.6,26.65,37.77,38.51,28.23,31.42,31.42,33.89,33.91,43.66,49.7,55.4
百香果,2016,-1.0,-1.0,-1.0,-1.0,-1.0,73.0,76.17,76.17,79.83,55.0,63.5,66.67,-1.0
香蕉,2016,39.17,48.2,57.33,37.79,25.58,18.12,19.12,19.12,37.46,35.17,33.66,40.25,63.19
香蕉,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
鳳梨,2016,-1.0,-1.0,-1.0,-1.0,-1.0,23.37,20.25,20.25,20.17,20.0,16.77,16.87,-1.0
鳳梨,2016,25.25,14.75,15.89,17.3,27.17,33.21,23.39,23.39,29.94,27.95,19.75,28.5,24.08
鳯梨,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
鳳梨,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
紅龍果,2016,-1.0,-1.0,-1.0,-1.0,96.67,65.58,39.6,39.6,55.45,39.61,51.48,73.15,-1.0
椪柑,2016,39.48,27.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.34,35.69,31.49
桶柑,2016,30.9,26.82,21.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
文旦,2016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,43.59,42.14,-1.0,-1.0,-1.0
柳橙,2016,19.88,19.07,21.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.82,22.13,23.61
檸檬,2016,16.78,13.3,22.67,23.96,29.82,31.83,20.83,20.83,11.74,12.25,26.4,55.76,62.98
