fruit_name,year,January,Febuary,March,April,May,June,July,August,September,October,November,December
紅龍果,2020,-1.0,-1.0,-1.0,-1.0,57.58,35.0,26.85,26.85,33.76,34.34,-1.0,-1.0,27.0
椪柑,2020,42.4,22.86,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
桶柑,2020,31.25,23.05,34.02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.32
文旦,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.0,68.13,-1.0,-1.0,-1.0
柳橙,2020,17.72,18.45,18.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
檸檬,2020,62.43,39.03,29.99,27.16,27.0,15.27,11.55,11.55,12.36,12.01,-1.0,-1.0,16.11
海梨柑,2020,17.72,14.17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.94
茂谷柑,2020,35.95,32.29,-1.0,41.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
白柚,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,27.0
金柑,2020,43.5,48.67,71.33,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,35.0
李,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.83
李,2020,-1.0,-1.0,-1.0,-1.0,59.33,50.67,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
鶯歌桃,2020,-1.0,-1.0,-1.0,-1.0,-1.0,130.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
甜桃,2020,-1.0,-1.0,-1.0,67.83,70.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
水蜜桃,2020,-1.0,-1.0,-1.0,-1.0,-1.0,300.0,176.23,176.23,104.7,-1.0,-1.0,-1.0,-1.0
牛心柿,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,-1.0,-1.0,-1.0
甜柿,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
紅柿,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,20.0,22.83,-1.0,-1.0,88.96
青梅,2020,-1.0,-1.0,50.0,43.89,43.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
青梅,2020,-1.0,-1.0,-1.0,17.25,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
橫山梨,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,50.0,20.0,-1.0,-1.0,-1.0
新世紀梨,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,45.0,-1.0,-1.0,-1.0
豐水梨,2020,-1.0,-1.0,-1.0,-1.0,-1.0,74.08,87.69,87.69,155.0,-1.0,-1.0,-1.0,-1.0
幸水梨,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
新興梨,2020,-1.0,-1.0,-1.0,-1.0,-1.0,53.0,50.84,50.84,51.91,54.44,-1.0,-1.0,-1.0
五爪蘋果,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
金冠蘋果,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
富士蘋果,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
巨峰葡萄,2020,84.5,165.0,136.67,165.83,97.17,68.31,62.65,62.65,69.61,107.0,-1.0,-1.0,-1.0
落花生,2020,66.23,57.33,58.0,58.0,59.84,66.16,66.52,66.52,62.8,62.91,-1.0,-1.0,58.75
花生仁,2020,111.25,-1.0,-1.0,-1.0,-1.0,105.51,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.41
紅豆,2020,67.71,65.56,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
綠豆,2020,100.0,100.0,113.33,100.0,104.0,104.0,100.0,100.0,100.0,100.0,-1.0,-1.0,58.27
花豆,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
大豆,2020,-1.0,83.0,-1.0,-1.0,66.67,50.52,50.0,50.0,-1.0,-1.0,-1.0,-1.0,-1.0
甘藷,2020,15.98,15.05,15.4,16.48,17.2,18.26,15.21,15.21,16.31,15.09,-1.0,-1.0,53.05
烏龍茶菁,2020,-1.0,-1.0,230.0,240.17,266.8,295.83,265.0,265.0,265.0,197.0,-1.0,-1.0,11.46
烏龍茶菁,2020,-1.0,-1.0,-1.0,89.0,83.5,70.83,70.0,70.0,70.0,67.5,-1.0,-1.0,-1.0
金萱茶菁,2020,-1.0,-1.0,178.75,139.18,157.5,140.83,115.0,115.0,115.0,113.33,-1.0,-1.0,-1.0
金萱茶菁,2020,-1.0,-1.0,41.0,49.09,48.58,46.22,45.67,45.67,45.67,44.0,-1.0,-1.0,-1.0
蓮子,2020,-1.0,-1.0,-1.0,-1.0,580.0,580.0,566.5,566.5,556.5,510.0,-1.0,-1.0,-1.0
荖花,2020,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
咖啡,2020,101.0,103.0,98.55,103.33,110.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
